League,FT_Score,Matches,Percentage
England - Premier League,2 - 0,2,10%
England - Premier League,0 - 0,2,10%
England - Premier League,1 - 5,1,5%
England - Premier League,5 - 0,1,5%
England - Premier League,0 - 4,1,5%
England - Premier League,2 - 3,1,5%
England - Premier League,4 - 2,1,5%
England - Premier League,0 - 2,1,5%
England - Premier League,3 - 1,1,5%
England - Premier League,0 - 1,1,5%
England - Championship,1 - 1,6,17%
England - Championship,1 - 0,6,17%
England - Championship,1 - 2,5,14%
England - Championship,2 - 1,4,11%
England - Championship,0 - 3,3,8%
England - Championship,0 - 1,3,8%
England - Championship,0 - 0,2,6%
England - Championship,3 - 5,1,3%
England - Championship,other scores,1,3%
England - Championship,1 - 4,1,3%
England - Championship,2 - 3,1,3%
England - Championship,3 - 2,1,3%
England - Championship,2 - 2,1,3%
England - Championship,3 - 1,1,3%
England - League One,2 - 0,11,19%
England - League One,0 - 1,7,12%
England - League One,1 - 2,6,10%
England - League One,2 - 1,6,10%
England - League One,1 - 0,6,10%
England - League One,1 - 1,5,8%
England - League One,3 - 2,3,5%
England - League One,2 - 2,3,5%
England - League One,0 - 0,3,5%
England - League One,0 - 2,2,3%
England - League One,4 - 1,2,3%
England - League One,3 - 0,2,3%
England - League One,2 - 3,1,2%
England - League One,1 - 3,1,2%
England - League One,3 - 1,1,2%
England - League Two,1 - 1,9,15%
England - League Two,1 - 2,8,14%
England - League Two,1 - 0,8,14%
England - League Two,0 - 2,7,12%
England - League Two,2 - 1,6,10%
England - League Two,0 - 1,4,7%
England - League Two,0 - 0,3,5%
England - League Two,2 - 2,2,3%
England - League Two,4 - 1,2,3%
England - League Two,2 - 0,2,3%
England - League Two,5 - 0,1,2%
England - League Two,1 - 4,1,2%
England - League Two,3 - 3,1,2%
England - League Two,1 - 3,1,2%
England - League Two,3 - 2,1,2%
England - League Two,3 - 1,1,2%
England - League Two,4 - 0,1,2%
England - League Two,3 - 0,1,2%
England - National League,2 - 1,9,16%
England - National League,2 - 0,7,12%
England - National League,0 - 2,5,9%
England - National League,1 - 1,5,9%
England - National League,1 - 0,4,7%
England - National League,2 - 3,3,5%
England - National League,1 - 2,3,5%
England - National League,0 - 1,3,5%
England - National League,4 - 0,3,5%
England - National League,0 - 0,3,5%
England - National League,2 - 2,2,4%
England - National League,3 - 0,2,4%
England - National League,1 - 5,1,2%
England - National League,5 - 0,1,2%
England - National League,3 - 4,1,2%
England - National League,3 - 3,1,2%
England - National League,0 - 3,1,2%
England - National League,3 - 2,1,2%
England - National League,3 - 1,1,2%
FaroeIslands - Premier League,2 - 1,9,9%
FaroeIslands - Premier League,1 - 2,8,8%
FaroeIslands - Premier League,1 - 1,8,8%
FaroeIslands - Premier League,1 - 0,8,8%
FaroeIslands - Premier League,other scores,5,5%
FaroeIslands - Premier League,0 - 3,5,5%
FaroeIslands - Premier League,2 - 2,5,5%
FaroeIslands - Premier League,3 - 1,5,5%
FaroeIslands - Premier League,0 - 1,5,5%
FaroeIslands - Premier League,0 - 2,4,4%
FaroeIslands - Premier League,4 - 1,4,4%
FaroeIslands - Premier League,4 - 0,4,4%
FaroeIslands - Premier League,2 - 3,3,3%
FaroeIslands - Premier League,1 - 3,3,3%
FaroeIslands - Premier League,3 - 2,3,3%
FaroeIslands - Premier League,0 - 0,3,3%
FaroeIslands - Premier League,0 - 5,2,2%
FaroeIslands - Premier League,1 - 4,2,2%
FaroeIslands - Premier League,0 - 4,2,2%
FaroeIslands - Premier League,4 - 3,2,2%
FaroeIslands - Premier League,3 - 0,2,2%
FaroeIslands - Premier League,2 - 0,2,2%
FaroeIslands - Premier League,2 - 6,1,1%
FaroeIslands - Premier League,1 - 5,1,1%
FaroeIslands - Premier League,5 - 0,1,1%
FaroeIslands - Premier League,3 - 3,1,1%
FaroeIslands - Premier League,4 - 2,1,1%
Finland - Veikkausliiga,3 - 2,11,9%
Finland - Veikkausliiga,2 - 2,11,9%
Finland - Veikkausliiga,0 - 1,11,9%
Finland - Veikkausliiga,2 - 1,9,7%
Finland - Veikkausliiga,1 - 1,9,7%
Finland - Veikkausliiga,3 - 1,8,6%
Finland - Veikkausliiga,0 - 0,8,6%
Finland - Veikkausliiga,2 - 3,7,6%
Finland - Veikkausliiga,1 - 0,7,6%
Finland - Veikkausliiga,0 - 2,6,5%
Finland - Veikkausliiga,3 - 0,6,5%
Finland - Veikkausliiga,0 - 4,5,4%
Finland - Veikkausliiga,1 - 2,5,4%
Finland - Veikkausliiga,4 - 1,4,3%
Finland - Veikkausliiga,1 - 3,3,2%
Finland - Veikkausliiga,1 - 4,2,2%
Finland - Veikkausliiga,0 - 3,2,2%
Finland - Veikkausliiga,2 - 0,2,2%
Finland - Veikkausliiga,6 - 2,1,1%
Finland - Veikkausliiga,2 - 5,1,1%
Finland - Veikkausliiga,1 - 5,1,1%
Finland - Veikkausliiga,0 - 5,1,1%
Finland - Veikkausliiga,5 - 1,1,1%
Finland - Veikkausliiga,5 - 0,1,1%
Finland - Veikkausliiga,other scores,1,1%
Finland - Veikkausliiga,2 - 4,1,1%
Finland - Veikkausliiga,4 - 3,1,1%
Finland - Veikkausliiga,4 - 2,1,1%
Finland - Kakkonen,2 - 1,13,10%
Finland - Kakkonen,2 - 2,11,9%
Finland - Kakkonen,3 - 1,11,9%
Finland - Kakkonen,1 - 1,11,9%
Finland - Kakkonen,1 - 0,11,9%
Finland - Kakkonen,2 - 0,6,5%
Finland - Kakkonen,0 - 2,5,4%
Finland - Kakkonen,0 - 1,5,4%
Finland - Kakkonen,0 - 0,5,4%
Finland - Kakkonen,5 - 0,4,3%
Finland - Kakkonen,1 - 3,4,3%
Finland - Kakkonen,3 - 5,3,2%
Finland - Kakkonen,1 - 4,3,2%
Finland - Kakkonen,2 - 3,3,2%
Finland - Kakkonen,0 - 3,3,2%
Finland - Kakkonen,3 - 2,3,2%
Finland - Kakkonen,1 - 2,3,2%
Finland - Kakkonen,4 - 1,3,2%
Finland - Kakkonen,4 - 0,3,2%
Finland - Kakkonen,3 - 0,3,2%
Finland - Kakkonen,6 - 1,2,2%
Finland - Kakkonen,other scores,2,2%
Finland - Kakkonen,4 - 2,2,2%
Finland - Kakkonen,1 - 6,1,1%
Finland - Kakkonen,0 - 5,1,1%
Finland - Kakkonen,5 - 2,1,1%
Finland - Kakkonen,2 - 4,1,1%
Finland - Kakkonen,0 - 4,1,1%
Finland - Kakkonen,4 - 3,1,1%
Finland - Kakkonen - A,1 - 2,6,7%
Finland - Kakkonen - A,2 - 1,6,7%
Finland - Kakkonen - A,1 - 3,5,6%
Finland - Kakkonen - A,1 - 1,5,6%
Finland - Kakkonen - A,4 - 0,5,6%
Finland - Kakkonen - A,5 - 1,4,4%
Finland - Kakkonen - A,5 - 0,4,4%
Finland - Kakkonen - A,other scores,4,4%
Finland - Kakkonen - A,0 - 3,4,4%
Finland - Kakkonen - A,6 - 0,3,3%
Finland - Kakkonen - A,1 - 5,3,3%
Finland - Kakkonen - A,3 - 3,3,3%
Finland - Kakkonen - A,0 - 2,3,3%
Finland - Kakkonen - A,4 - 1,3,3%
Finland - Kakkonen - A,3 - 1,3,3%
Finland - Kakkonen - A,2 - 0,3,3%
Finland - Kakkonen - A,1 - 0,3,3%
Finland - Kakkonen - A,5 - 3,2,2%
Finland - Kakkonen - A,0 - 4,2,2%
Finland - Kakkonen - A,4 - 3,2,2%
Finland - Kakkonen - A,4 - 2,2,2%
Finland - Kakkonen - A,2 - 2,2,2%
Finland - Kakkonen - A,0 - 1,2,2%
Finland - Kakkonen - A,3 - 0,2,2%
Finland - Kakkonen - A,2 - 6,1,1%
Finland - Kakkonen - A,0 - 6,1,1%
Finland - Kakkonen - A,6 - 3,1,1%
Finland - Kakkonen - A,6 - 1,1,1%
Finland - Kakkonen - A,0 - 5,1,1%
Finland - Kakkonen - A,1 - 4,1,1%
Finland - Kakkonen - A,2 - 3,1,1%
Finland - Kakkonen - A,3 - 2,1,1%
Finland - Kakkonen - A,0 - 0,1,1%
Finland - Kakkonen - B,1 - 2,9,10%
Finland - Kakkonen - B,1 - 1,9,10%
Finland - Kakkonen - B,1 - 0,7,8%
Finland - Kakkonen - B,other scores,5,6%
Finland - Kakkonen - B,0 - 2,5,6%
Finland - Kakkonen - B,2 - 1,5,6%
Finland - Kakkonen - B,3 - 0,5,6%
Finland - Kakkonen - B,1 - 3,4,4%
Finland - Kakkonen - B,1 - 5,3,3%
Finland - Kakkonen - B,3 - 3,3,3%
Finland - Kakkonen - B,2 - 3,3,3%
Finland - Kakkonen - B,3 - 2,3,3%
Finland - Kakkonen - B,2 - 2,3,3%
Finland - Kakkonen - B,4 - 1,3,3%
Finland - Kakkonen - B,3 - 1,3,3%
Finland - Kakkonen - B,2 - 0,3,3%
Finland - Kakkonen - B,2 - 4,2,2%
Finland - Kakkonen - B,0 - 4,2,2%
Finland - Kakkonen - B,0 - 1,2,2%
Finland - Kakkonen - B,4 - 0,2,2%
Finland - Kakkonen - B,1 - 6,1,1%
Finland - Kakkonen - B,6 - 2,1,1%
Finland - Kakkonen - B,6 - 1,1,1%
Finland - Kakkonen - B,0 - 5,1,1%
Finland - Kakkonen - B,5 - 1,1,1%
Finland - Kakkonen - B,5 - 0,1,1%
Finland - Kakkonen - B,1 - 4,1,1%
Finland - Kakkonen - B,0 - 3,1,1%
Finland - Kakkonen - B,4 - 2,1,1%
Finland - Kakkonen - C,2 - 3,9,12%
Finland - Kakkonen - C,3 - 2,6,8%
Finland - Kakkonen - C,1 - 2,6,8%
Finland - Kakkonen - C,2 - 1,5,7%
Finland - Kakkonen - C,other scores,4,6%
Finland - Kakkonen - C,1 - 0,4,6%
Finland - Kakkonen - C,1 - 3,3,4%
Finland - Kakkonen - C,0 - 2,3,4%
Finland - Kakkonen - C,1 - 1,3,4%
Finland - Kakkonen - C,1 - 5,2,3%
Finland - Kakkonen - C,5 - 2,2,3%
Finland - Kakkonen - C,5 - 1,2,3%
Finland - Kakkonen - C,4 - 3,2,3%
Finland - Kakkonen - C,3 - 3,2,3%
Finland - Kakkonen - C,0 - 3,2,3%
Finland - Kakkonen - C,4 - 1,2,3%
Finland - Kakkonen - C,3 - 1,2,3%
Finland - Kakkonen - C,4 - 0,2,3%
Finland - Kakkonen - C,3 - 0,2,3%
Finland - Kakkonen - C,0 - 6,1,1%
Finland - Kakkonen - C,6 - 1,1,1%
Finland - Kakkonen - C,6 - 0,1,1%
Finland - Kakkonen - C,5 - 4,1,1%
Finland - Kakkonen - C,2 - 4,1,1%
Finland - Kakkonen - C,4 - 2,1,1%
Finland - Kakkonen - C,2 - 2,1,1%
Finland - Kakkonen - C,0 - 1,1,1%
Finland - Kakkonen - C,0 - 0,1,1%
France - Ligue 1,1 - 0,6,33%
France - Ligue 1,0 - 1,4,22%
France - Ligue 1,3 - 1,2,11%
France - Ligue 1,5 - 2,1,6%
France - Ligue 1,3 - 3,1,6%
France - Ligue 1,1 - 2,1,6%
France - Ligue 1,4 - 0,1,6%
France - Ligue 1,3 - 0,1,6%
France - Ligue 1,2 - 0,1,6%
France - Ligue 2,1 - 1,4,15%
France - Ligue 2,1 - 0,4,15%
France - Ligue 2,2 - 2,3,12%
France - Ligue 2,3 - 3,2,8%
France - Ligue 2,1 - 3,2,8%
France - Ligue 2,2 - 1,2,8%
France - Ligue 2,0 - 1,2,8%
France - Ligue 2,2 - 0,2,8%
France - Ligue 2,0 - 0,2,8%
France - Ligue 2,0 - 4,1,4%
France - Ligue 2,1 - 2,1,4%
France - Ligue 2,4 - 0,1,4%
France - National,2 - 1,4,17%
France - National,0 - 0,4,17%
France - National,2 - 2,2,8%
France - National,0 - 2,2,8%
France - National,3 - 1,2,8%
France - National,1 - 1,2,8%
France - National,0 - 1,2,8%
France - National,1 - 0,2,8%
France - National,5 - 0,1,4%
France - National,1 - 2,1,4%
France - National,4 - 1,1,4%
France - National,3 - 0,1,4%
Georgia - Erovnuli Liga,1 - 1,15,14%
Georgia - Erovnuli Liga,0 - 1,14,13%
Georgia - Erovnuli Liga,2 - 1,13,12%
Georgia - Erovnuli Liga,2 - 0,12,11%
Georgia - Erovnuli Liga,0 - 0,10,9%
Georgia - Erovnuli Liga,1 - 0,9,8%
Georgia - Erovnuli Liga,1 - 2,8,7%
Georgia - Erovnuli Liga,0 - 2,5,5%
Georgia - Erovnuli Liga,2 - 3,3,3%
Georgia - Erovnuli Liga,1 - 3,3,3%
Georgia - Erovnuli Liga,2 - 2,3,3%
Georgia - Erovnuli Liga,3 - 0,3,3%
Georgia - Erovnuli Liga,3 - 1,2,2%
Georgia - Erovnuli Liga,0 - 6,1,1%
Georgia - Erovnuli Liga,6 - 1,1,1%
Georgia - Erovnuli Liga,other scores,1,1%
Georgia - Erovnuli Liga,1 - 4,1,1%
Georgia - Erovnuli Liga,0 - 4,1,1%
Georgia - Erovnuli Liga,4 - 3,1,1%
Georgia - Erovnuli Liga,0 - 3,1,1%
Georgia - Erovnuli Liga,4 - 1,1,1%
Georgia - Erovnuli Liga,4 - 0,1,1%
Germany - Bundesliga,1 - 3,2,22%
Germany - Bundesliga,6 - 0,1,11%
Germany - Bundesliga,3 - 3,1,11%
Germany - Bundesliga,1 - 2,1,11%
Germany - Bundesliga,4 - 1,1,11%
Germany - Bundesliga,2 - 1,1,11%
Germany - Bundesliga,0 - 1,1,11%
Germany - Bundesliga,0 - 0,1,11%
Germany - 2. Bundesliga,2 - 1,5,19%
Germany - 2. Bundesliga,3 - 2,3,11%
Germany - 2. Bundesliga,1 - 2,3,11%
Germany - 2. Bundesliga,0 - 2,3,11%
Germany - 2. Bundesliga,1 - 0,3,11%
Germany - 2. Bundesliga,0 - 1,2,7%
Germany - 2. Bundesliga,2 - 0,2,7%
Germany - 2. Bundesliga,0 - 0,2,7%
Germany - 2. Bundesliga,5 - 1,1,4%
Germany - 2. Bundesliga,4 - 1,1,4%
Germany - 2. Bundesliga,3 - 1,1,4%
Germany - 2. Bundesliga,1 - 1,1,4%
Germany - 3. Liga,2 - 1,5,17%
Germany - 3. Liga,1 - 1,5,17%
Germany - 3. Liga,2 - 0,3,10%
Germany - 3. Liga,0 - 0,3,10%
Germany - 3. Liga,2 - 2,2,7%
Germany - 3. Liga,0 - 2,2,7%
Germany - 3. Liga,3 - 1,2,7%
Germany - 3. Liga,1 - 0,2,7%
Germany - 3. Liga,3 - 4,1,3%
Germany - 3. Liga,2 - 4,1,3%
Germany - 3. Liga,0 - 4,1,3%
Germany - 3. Liga,3 - 3,1,3%
Germany - 3. Liga,4 - 1,1,3%
Germany - 3. Liga,3 - 0,1,3%
Greece - Super League,2 - 0,3,50%
Greece - Super League,3 - 2,1,17%
Greece - Super League,0 - 2,1,17%
Greece - Super League,1 - 0,1,17%
Guatemala - Liga Nacional - Apertura,2 - 2,4,11%
Guatemala - Liga Nacional - Apertura,2 - 1,4,11%
Guatemala - Liga Nacional - Apertura,1 - 1,4,11%
Guatemala - Liga Nacional - Apertura,0 - 1,4,11%
Guatemala - Liga Nacional - Apertura,1 - 2,3,8%
Guatemala - Liga Nacional - Apertura,2 - 0,3,8%
Guatemala - Liga Nacional - Apertura,1 - 0,3,8%
Guatemala - Liga Nacional - Apertura,0 - 0,3,8%
Guatemala - Liga Nacional - Apertura,3 - 0,2,6%
Guatemala - Liga Nacional - Apertura,5 - 0,1,3%
Guatemala - Liga Nacional - Apertura,2 - 3,1,3%
Guatemala - Liga Nacional - Apertura,1 - 3,1,3%
Guatemala - Liga Nacional - Apertura,3 - 2,1,3%
Guatemala - Liga Nacional - Apertura,0 - 2,1,3%
Guatemala - Liga Nacional - Apertura,4 - 1,1,3%
Guatemala - Liga Nacional - Clausura,2 - 1,19,17%
Guatemala - Liga Nacional - Clausura,1 - 0,18,16%
Guatemala - Liga Nacional - Clausura,1 - 1,14,13%
Guatemala - Liga Nacional - Clausura,2 - 0,11,10%
Guatemala - Liga Nacional - Clausura,0 - 0,11,10%
Guatemala - Liga Nacional - Clausura,1 - 2,6,5%
Guatemala - Liga Nacional - Clausura,0 - 1,4,4%
Guatemala - Liga Nacional - Clausura,2 - 3,3,3%
Guatemala - Liga Nacional - Clausura,1 - 3,3,3%
Guatemala - Liga Nacional - Clausura,3 - 2,3,3%
Guatemala - Liga Nacional - Clausura,2 - 2,3,3%
Guatemala - Liga Nacional - Clausura,0 - 2,3,3%
Guatemala - Liga Nacional - Clausura,0 - 3,2,2%
Guatemala - Liga Nacional - Clausura,3 - 0,2,2%
Guatemala - Liga Nacional - Clausura,6 - 0,1,1%
Guatemala - Liga Nacional - Clausura,5 - 2,1,1%
Guatemala - Liga Nacional - Clausura,5 - 1,1,1%
Guatemala - Liga Nacional - Clausura,other scores,1,1%
Guatemala - Liga Nacional - Clausura,4 - 2,1,1%
Guatemala - Liga Nacional - Clausura,4 - 1,1,1%
Guatemala - Liga Nacional - Clausura,3 - 1,1,1%
Guatemala - Liga Nacional - Clausura,4 - 0,1,1%
Hong Kong - Premier League,1 - 1,11,10%
Hong Kong - Premier League,3 - 1,9,8%
Hong Kong - Premier League,1 - 2,8,7%
Hong Kong - Premier League,2 - 1,8,7%
Hong Kong - Premier League,1 - 3,7,6%
Hong Kong - Premier League,0 - 1,6,6%
Hong Kong - Premier League,2 - 0,6,6%
Hong Kong - Premier League,1 - 0,5,5%
Hong Kong - Premier League,2 - 3,4,4%
Hong Kong - Premier League,2 - 2,4,4%
Hong Kong - Premier League,0 - 2,4,4%
Hong Kong - Premier League,3 - 0,4,4%
Hong Kong - Premier League,3 - 4,3,3%
Hong Kong - Premier League,0 - 4,3,3%
Hong Kong - Premier League,4 - 0,3,3%
Hong Kong - Premier League,2 - 5,2,2%
Hong Kong - Premier League,0 - 5,2,2%
Hong Kong - Premier League,5 - 1,2,2%
Hong Kong - Premier League,other scores,2,2%
Hong Kong - Premier League,3 - 3,2,2%
Hong Kong - Premier League,0 - 3,2,2%
Hong Kong - Premier League,3 - 2,2,2%
Hong Kong - Premier League,4 - 1,2,2%
Hong Kong - Premier League,6 - 1,1,1%
Hong Kong - Premier League,1 - 5,1,1%
Hong Kong - Premier League,5 - 3,1,1%
Hong Kong - Premier League,5 - 0,1,1%
Hong Kong - Premier League,4 - 4,1,1%
Hong Kong - Premier League,4 - 3,1,1%
Hong Kong - Premier League,0 - 0,1,1%
Hungary - NB I,1 - 2,4,14%
Hungary - NB I,1 - 1,4,14%
Hungary - NB I,1 - 4,3,11%
Hungary - NB I,2 - 2,3,11%
Hungary - NB I,3 - 3,2,7%
Hungary - NB I,2 - 1,2,7%
Hungary - NB I,1 - 5,1,4%
Hungary - NB I,5 - 0,1,4%
Hungary - NB I,other scores,1,4%
Hungary - NB I,2 - 3,1,4%
Hungary - NB I,1 - 3,1,4%
Hungary - NB I,3 - 2,1,4%
Hungary - NB I,3 - 1,1,4%
Hungary - NB I,0 - 1,1,4%
Hungary - NB I,3 - 0,1,4%
Hungary - NB I,1 - 0,1,4%
Iceland - Urvalsdeild,2 - 1,13,11%
Iceland - Urvalsdeild,1 - 1,11,9%
Iceland - Urvalsdeild,2 - 0,11,9%
Iceland - Urvalsdeild,1 - 0,9,8%
Iceland - Urvalsdeild,3 - 2,7,6%
Iceland - Urvalsdeild,2 - 2,7,6%
Iceland - Urvalsdeild,0 - 2,7,6%
Iceland - Urvalsdeild,0 - 1,7,6%
Iceland - Urvalsdeild,3 - 1,6,5%
Iceland - Urvalsdeild,1 - 2,5,4%
Iceland - Urvalsdeild,4 - 1,5,4%
Iceland - Urvalsdeild,3 - 0,5,4%
Iceland - Urvalsdeild,0 - 0,4,3%
Iceland - Urvalsdeild,3 - 3,3,3%
Iceland - Urvalsdeild,6 - 1,2,2%
Iceland - Urvalsdeild,5 - 0,2,2%
Iceland - Urvalsdeild,1 - 4,2,2%
Iceland - Urvalsdeild,4 - 3,2,2%
Iceland - Urvalsdeild,2 - 3,2,2%
Iceland - Urvalsdeild,0 - 3,2,2%
Iceland - Urvalsdeild,4 - 2,2,2%
Iceland - Urvalsdeild,4 - 5,1,1%
Iceland - Urvalsdeild,2 - 5,1,1%
Iceland - Urvalsdeild,2 - 4,1,1%
Iceland - Urvalsdeild,1 - 3,1,1%
Iceland - Urvalsdeild,4 - 0,1,1%
Iceland - 1. Deild,1 - 1,16,14%
Iceland - 1. Deild,1 - 2,13,12%
Iceland - 1. Deild,3 - 1,8,7%
Iceland - 1. Deild,2 - 1,7,6%
Iceland - 1. Deild,2 - 2,6,5%
Iceland - 1. Deild,0 - 1,6,5%
Iceland - 1. Deild,2 - 0,5,4%
Iceland - 1. Deild,3 - 3,4,4%
Iceland - 1. Deild,0 - 2,4,4%
Iceland - 1. Deild,3 - 0,4,4%
Iceland - 1. Deild,1 - 0,4,4%
Iceland - 1. Deild,2 - 4,3,3%
Iceland - 1. Deild,1 - 4,3,3%
Iceland - 1. Deild,2 - 3,3,3%
Iceland - 1. Deild,1 - 3,3,3%
Iceland - 1. Deild,3 - 2,3,3%
Iceland - 1. Deild,4 - 1,3,3%
Iceland - 1. Deild,4 - 0,3,3%
Iceland - 1. Deild,1 - 5,2,2%
Iceland - 1. Deild,0 - 4,2,2%
Iceland - 1. Deild,0 - 3,2,2%
Iceland - 1. Deild,2 - 6,1,1%
Iceland - 1. Deild,6 - 1,1,1%
Iceland - 1. Deild,6 - 0,1,1%
Iceland - 1. Deild,0 - 5,1,1%
Iceland - 1. Deild,5 - 4,1,1%
Iceland - 1. Deild,5 - 1,1,1%
Iceland - 1. Deild,other scores,1,1%
Iceland - 1. Deild,3 - 4,1,1%
Iceland - 1. Deild,0 - 0,1,1%
Ireland - Premier Division,1 - 1,16,12%
Ireland - Premier Division,1 - 0,16,12%
Ireland - Premier Division,0 - 1,14,10%
Ireland - Premier Division,1 - 2,13,9%
Ireland - Premier Division,2 - 1,13,9%
Ireland - Premier Division,0 - 0,12,9%
Ireland - Premier Division,2 - 2,11,8%
Ireland - Premier Division,2 - 0,10,7%
Ireland - Premier Division,3 - 0,8,6%
Ireland - Premier Division,0 - 2,5,4%
Ireland - Premier Division,2 - 3,4,3%
Ireland - Premier Division,3 - 2,3,2%
Ireland - Premier Division,3 - 1,3,2%
Ireland - Premier Division,1 - 3,2,1%
Ireland - Premier Division,4 - 1,2,1%
Ireland - Premier Division,other scores,1,1%
Ireland - Premier Division,2 - 4,1,1%
Ireland - Premier Division,0 - 4,1,1%
Ireland - Premier Division,4 - 3,1,1%
Ireland - Premier Division,0 - 3,1,1%
Ireland - Premier Division,4 - 2,1,1%
Ireland - Premier Division,4 - 0,1,1%
Ireland - First Division,0 - 1,19,14%
Ireland - First Division,1 - 1,16,12%
Ireland - First Division,2 - 1,13,9%
Ireland - First Division,1 - 0,11,8%
Ireland - First Division,2 - 0,10,7%
Ireland - First Division,2 - 2,8,6%
Ireland - First Division,3 - 1,8,6%
Ireland - First Division,0 - 0,8,6%
Ireland - First Division,1 - 2,7,5%
Ireland - First Division,0 - 2,6,4%
Ireland - First Division,0 - 3,4,3%
Ireland - First Division,3 - 2,4,3%
Ireland - First Division,4 - 0,4,3%
Ireland - First Division,2 - 3,3,2%
Ireland - First Division,1 - 3,3,2%
Ireland - First Division,3 - 0,3,2%
Ireland - First Division,5 - 0,2,1%
Ireland - First Division,0 - 4,2,1%
Ireland - First Division,4 - 2,2,1%
Ireland - First Division,6 - 1,1,1%
Ireland - First Division,0 - 5,1,1%
Ireland - First Division,5 - 1,1,1%
Ireland - First Division,other scores,1,1%
Ireland - First Division,4 - 3,1,1%
Ireland - First Division,4 - 1,1,1%
Indonesia - Liga 1,1 - 1,8,30%
Indonesia - Liga 1,0 - 1,3,11%
Indonesia - Liga 1,1 - 2,2,7%
Indonesia - Liga 1,3 - 1,2,7%
Indonesia - Liga 1,2 - 1,2,7%
Indonesia - Liga 1,2 - 0,2,7%
Indonesia - Liga 1,5 - 2,1,4%
Indonesia - Liga 1,3 - 3,1,4%
Indonesia - Liga 1,1 - 3,1,4%
Indonesia - Liga 1,0 - 3,1,4%
Indonesia - Liga 1,2 - 2,1,4%
Indonesia - Liga 1,4 - 1,1,4%
Indonesia - Liga 1,4 - 0,1,4%
Indonesia - Liga 1,1 - 0,1,4%
Israel - Ligat HaAl,1 - 2,2,33%
Israel - Ligat HaAl,2 - 4,1,17%
Israel - Ligat HaAl,2 - 1,1,17%
Israel - Ligat HaAl,4 - 0,1,17%
Israel - Ligat HaAl,1 - 0,1,17%
Italy - Serie A,1 - 1,3,30%
Italy - Serie A,2 - 0,2,20%
Italy - Serie A,5 - 0,1,10%
Italy - Serie A,1 - 2,1,10%
Italy - Serie A,0 - 2,1,10%
Italy - Serie A,1 - 0,1,10%
Italy - Serie A,0 - 0,1,10%
Italy - Serie B,0 - 2,2,20%
Italy - Serie B,2 - 1,2,20%
Italy - Serie B,1 - 1,2,20%
Italy - Serie B,1 - 3,1,10%
Italy - Serie B,3 - 1,1,10%
Italy - Serie B,2 - 0,1,10%
Italy - Serie B,1 - 0,1,10%
Italy - Serie C - Group A,1 - 1,2,20%
Italy - Serie C - Group A,5 - 0,1,10%
Italy - Serie C - Group A,2 - 3,1,10%
Italy - Serie C - Group A,2 - 2,1,10%
Italy - Serie C - Group A,1 - 2,1,10%
Italy - Serie C - Group A,0 - 2,1,10%
Italy - Serie C - Group A,2 - 1,1,10%
Italy - Serie C - Group A,0 - 1,1,10%
Italy - Serie C - Group A,1 - 0,1,10%
Italy - Serie C - Group B,1 - 0,4,40%
Italy - Serie C - Group B,1 - 1,2,20%
Italy - Serie C - Group B,0 - 0,2,20%
Italy - Serie C - Group B,3 - 2,1,10%
Italy - Serie C - Group B,0 - 1,1,10%
Japan - J1 League,0 - 1,35,13%
Japan - J1 League,1 - 0,35,13%
Japan - J1 League,2 - 1,33,12%
Japan - J1 League,1 - 1,29,11%
Japan - J1 League,1 - 2,21,8%
Japan - J1 League,2 - 0,21,8%
Japan - J1 League,0 - 0,19,7%
Japan - J1 League,2 - 2,13,5%
Japan - J1 League,0 - 3,10,4%
Japan - J1 League,0 - 2,8,3%
Japan - J1 League,3 - 1,8,3%
Japan - J1 League,3 - 0,8,3%
Japan - J1 League,3 - 2,7,3%
Japan - J1 League,3 - 3,4,1%
Japan - J1 League,1 - 3,4,1%
Japan - J1 League,4 - 0,4,1%
Japan - J1 League,0 - 4,3,1%
Japan - J1 League,2 - 3,3,1%
Japan - J1 League,2 - 5,2,1%
Japan - J1 League,3 - 4,2,1%
Japan - J1 League,4 - 2,2,1%
Japan - J1 League,4 - 1,1,0%
Japan - J2 League,1 - 0,40,15%
Japan - J2 League,0 - 1,29,11%
Japan - J2 League,1 - 1,27,10%
Japan - J2 League,0 - 0,27,10%
Japan - J2 League,1 - 2,23,9%
Japan - J2 League,2 - 1,20,7%
Japan - J2 League,2 - 2,19,7%
Japan - J2 League,0 - 2,14,5%
Japan - J2 League,2 - 0,14,5%
Japan - J2 League,1 - 3,8,3%
Japan - J2 League,3 - 2,7,3%
Japan - J2 League,3 - 1,7,3%
Japan - J2 League,2 - 3,5,2%
Japan - J2 League,3 - 0,5,2%
Japan - J2 League,5 - 1,4,1%
Japan - J2 League,3 - 3,4,1%
Japan - J2 League,2 - 4,3,1%
Japan - J2 League,4 - 1,3,1%
Japan - J2 League,3 - 4,2,1%
Japan - J2 League,1 - 4,2,1%
Japan - J2 League,0 - 4,2,1%
Japan - J2 League,0 - 3,2,1%
Japan - J2 League,4 - 0,2,1%
Japan - J2 League,4 - 2,1,0%
Japan - J3 League,1 - 0,38,16%
Japan - J3 League,1 - 1,37,15%
Japan - J3 League,0 - 1,24,10%
Japan - J3 League,1 - 2,20,8%
Japan - J3 League,0 - 0,20,8%
Japan - J3 League,2 - 1,19,8%
Japan - J3 League,2 - 0,15,6%
Japan - J3 League,3 - 2,11,5%
